month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by,,
7,5,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
8,4,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
9,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
10,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
11,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
12,,invert loss to fish,Crescent Beach BC,Huang et al 2015,2012,,predation intensity,prey lost to fish predators,MO,,
1,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
2,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
3,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
4,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
5,1,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
6,1,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
7,1,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
8,10,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
9,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
10,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
11,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
12,,epiphyte biomass,Crescent Beach BC,Huang et al 2015,2012,,epiphytes,,MO,,
1,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
2,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
3,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
4,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
5,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
6,10,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
7,10,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
8,5,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
9,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
10,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
11,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
12,,benthic fish,Crescent Beach BC,Huang et al 2015,2012,,predator,no. fish caught in trap,MO,,
1,,heron foraging,Crescent Beach BC,Huang et al 2015,2012,,predator,total heron foraging intensity,MO,,
2,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity ,MO,,
3,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
4,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
5,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
6,1,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
7,6,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
8,10,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
9,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
10,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
11,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
12,,heron foraging,Crescent Beach BC,Huang et al 2015,2011,,predator,total heron foraging intensity,MO,,
1,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
2,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
3,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
4,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
5,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
6,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
7,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
8,8,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
9,10,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
10,1,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
11,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
12,,seagrass shoot biomass,Tsawwassen,Emily Adamczyk,2016,,seagrass,1 of 1 sites,EA,,
1,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
2,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
3,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
4,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
5,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
6,3,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
7,7,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
8,9,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
9,10,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
10,8,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
11,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
12,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,1 of 2 sites,EA,,
1,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
2,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
3,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
4,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
5,3,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
6,4,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
7,8,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
8,7,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
9,10,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
10,9,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
11,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
12,1,seagrass shoot biomass,"Beaufort, NC",Adams,1971,1972,seagrass,2 of 2 sites,EA,,
1,1,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
2,5,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
3,1,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
4,1,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
5,3,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
6,6,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
7,5,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
8,7,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
9,8,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
10,10,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
11,8,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
12,5,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
1,1,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
2,1,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
3,1,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
4,1.5,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
5,2,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
6,4,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
7,6,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
8,8,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
9,7,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
10,8.5,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
11,10,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
12,10,fish density,"Beaufort, NC",Adams,1971,1972,predator,2 of 2 sites,EA,,
5,3,shoot density," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
6,8,shoot density," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
7,1,shoot density," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
8,8,shoot density," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
9,10,shoot density," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
10,7,shoot density," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
5,10,seagrass shoot biomass," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
6,1.5,seagrass shoot biomass," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
7,2,seagrass shoot biomass," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
8,5,seagrass shoot biomass," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
9,10,seagrass shoot biomass," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
10,1,seagrass shoot biomass," Masnedo Island, Denmark",Bach,1988,1988,seagrass,,EA,,
1,2,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
2,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
3,2,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
4,1.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
5,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
6,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
7,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
8,6,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
9,10,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
10,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
11,7,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
12,3.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA,,
1,2,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
2,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
3,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
4,1.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
5,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
6,1.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
7,5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
8,6,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
9,10,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
10,5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
11,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
12,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA,,
7,3.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,3 of 3 sites,EA,,
8,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,3 of 3 sites,EA,,
9,10,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,3 of 3 sites,EA,,
2,1,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA,,
4,3,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA,,
8,8,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA,,
11,10,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA,,
1,1,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
2,2,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
3,2,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
4,1.5,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
5,1,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
6,2,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
7,9,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
8,10,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
9,9.5,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
10,7,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
11,6,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
12,4,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA,,
1,3.5,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
2,,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
3,,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
4,,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
5,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
6,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
7,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
8,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
9,10,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
10,3,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
11,4,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
12,6,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA,,
1,4,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
2,6,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
3,5,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
4,1,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
5,1,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
6,4,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
7,6,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
8,5,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
9,8.5,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
10,10,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
11,7,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
12,7,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA,,
1,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
2,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
3,0.124361194,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
4,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
5,0.403550301,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
6,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
7,0.285140218,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
8,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
9,0.115225741,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
10,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
11,,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.771038319,mg/cm2
12,0.045248567,Epiphyte_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,epiphytes,"dry weight, average of 5 samples",RB,0.280540719,mg/cm2
1,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
2,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
3,0.105812221,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
4,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
5,0.177347243,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
6,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
7,0.327123696,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
8,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
9,1,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
10,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
11,,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,14.2,count
12,0.60804769,Amphipods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,81.6,count
1,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
2,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
3,0.14953271,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
4,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
5,0.068535826,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
6,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
7,0.336448598,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
8,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
9,0.364485981,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
10,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
11,,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
12,0.504672897,Isopods,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,16.2,count
3,0.239808153,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,10,count
5,0.119904077,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,5,count
7,0.48441247,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,20.2,count
9,0.690647482,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,28.8,count
12,0.623501199,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,26,count
3,0.083333333,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.4,count
5,0.125,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.6,count
7,0.041666667,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
9,0,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
12,0,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
3,0.131818182,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,5.8,count
5,0.05,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2.2,count
7,0.095454545,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.2,count
9,0.175,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,7.7,count
12,1,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,44,count
3,0,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
5,0.785853114,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,4.108,g
7,0.541986135,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,2.8332,g
9,0.507016819,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,2.6504,g
12,0.010406624,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0.0544,g
3,0,Zost_Flowering_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,seagrass,"dry weight, average of 5 samples",RB,0,g
5,0.046126126,Zost_Flowering_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,seagrass,"dry weight, average of 5 samples",RB,0.256,g
7,0.218018018,Zost_Flowering_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,seagrass,"dry weight, average of 5 samples",RB,1.21,g
