rownum,month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by,X11,X12
211,7,0.48441247,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,20.2,count
212,8,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
213,9,0.690647482,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,28.8,count
214,10,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
215,11,NA,Macrophyte_consumers,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
216,12,0.623501199,Macrophyte_consumers,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,26,count
217,1,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
218,2,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
219,3,0.513189448,Macrophyte_consumers,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,21.4,count
220,4,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
221,5,0.201438849,Macrophyte_consumers,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,8.4,count
222,6,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
223,7,0.323741007,Macrophyte_consumers,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,13.5,count
224,8,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
225,9,1,Macrophyte_consumers,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,41.7,count
226,10,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
227,11,NA,Macrophyte_consumers,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
228,12,0.916067146,Macrophyte_consumers,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,38.2,count
229,1,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
230,2,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
231,3,0.004796163,Macrophyte_consumers,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,0.2,count
232,4,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
233,5,0.009592326,Macrophyte_consumers,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,0.4,count
234,6,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
235,7,0.038369305,Macrophyte_consumers,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,1.6,count
236,8,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
237,9,0.014388489,Macrophyte_consumers,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,0.6,count
238,10,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
239,11,NA,Macrophyte_consumers,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
240,12,0.038369305,Macrophyte_consumers,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,1.6,count
241,1,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
242,2,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
243,3,0.019184652,Macrophyte_consumers,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,0.8,count
244,4,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
245,5,0.110311751,Macrophyte_consumers,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,4.6,count
246,6,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
247,7,0.206235012,Macrophyte_consumers,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,8.6,count
248,8,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
249,9,0.386091127,Macrophyte_consumers,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,16.1,count
250,10,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
251,11,NA,Macrophyte_consumers,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
252,12,0.431654676,Macrophyte_consumers,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,18,count
253,1,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
254,2,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
255,3,0.047961631,Macrophyte_consumers,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,2,count
256,4,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
257,5,0.019184652,Macrophyte_consumers,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,0.8,count
258,6,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
259,7,0.057553957,Macrophyte_consumers,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,2.4,count
260,8,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
261,9,0.059352518,Macrophyte_consumers,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,2.475,count
262,10,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
263,11,NA,Macrophyte_consumers,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
264,12,0.172661871,Macrophyte_consumers,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,"average of 5 samples, Ampithoe lacertosa + Idotea resecata",RB,7.2,count
284,1,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
285,2,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
286,3,0.083333333,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.4,count
287,4,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
288,5,0.125,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.6,count
289,6,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
290,7,0.041666667,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
291,8,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
292,9,0,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
293,10,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
294,11,NA,Phyllaplysia,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
295,12,0,Phyllaplysia,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
296,1,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
297,2,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
298,3,0.125,Phyllaplysia,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.6,count
299,4,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
300,5,0.041666667,Phyllaplysia,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
301,6,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
302,7,0.104166667,Phyllaplysia,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.5,count
303,8,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
304,9,0.083333333,Phyllaplysia,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.4,count
305,10,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
306,11,NA,Phyllaplysia,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
307,12,0,Phyllaplysia,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
308,1,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
309,2,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
310,3,1,Phyllaplysia,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
311,4,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
312,5,0.25,Phyllaplysia,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,1.2,count
313,6,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
314,7,0.6875,Phyllaplysia,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,3.3,count
315,8,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
316,9,0.354166667,Phyllaplysia,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,1.7,count
317,10,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
318,11,NA,Phyllaplysia,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
319,12,0,Phyllaplysia,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
320,1,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
321,2,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
322,3,0,Phyllaplysia,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
323,4,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
324,5,0,Phyllaplysia,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
325,6,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
326,7,0.041666667,Phyllaplysia,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
327,8,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
328,9,0.416666667,Phyllaplysia,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2,count
329,10,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
330,11,NA,Phyllaplysia,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
331,12,0,Phyllaplysia,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
332,1,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
333,2,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
334,3,0.041666667,Phyllaplysia,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
335,4,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
336,5,0,Phyllaplysia,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
337,6,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
338,7,0,Phyllaplysia,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
339,8,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
340,9,0.067708333,Phyllaplysia,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.325,count
341,10,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
342,11,NA,Phyllaplysia,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
343,12,0,Phyllaplysia,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0,count
344,1,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
345,2,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
346,3,0.131818182,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,5.8,count
347,4,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
348,5,0.05,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2.2,count
349,6,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
350,7,0.095454545,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.2,count
351,8,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
352,9,0.175,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,7.7,count
353,10,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
354,11,NA,Shrimp,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
355,12,1,Shrimp,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,44,count
356,1,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
357,2,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
358,3,0.218181818,Shrimp,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,9.6,count
359,4,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
360,5,0.154545455,Shrimp,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,6.8,count
361,6,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
362,7,0.068181818,Shrimp,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,3,count
363,8,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
364,9,0.361363636,Shrimp,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,15.9,count
365,10,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
366,11,NA,Shrimp,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
367,12,0.736363636,Shrimp,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,32.4,count
368,1,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
369,2,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
370,3,0.145454545,Shrimp,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,6.4,count
371,4,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
372,5,0.004545455,Shrimp,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.2,count
373,6,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
374,7,0.111363636,Shrimp,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.9,count
375,8,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
376,9,0.1,Shrimp,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.4,count
377,10,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
378,11,NA,Shrimp,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
379,12,0.059090909,Shrimp,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2.6,count
380,1,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
381,2,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
382,3,0.168181818,Shrimp,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,7.4,count
383,4,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
384,5,0.081818182,Shrimp,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,3.6,count
385,6,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
386,7,0.036363636,Shrimp,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,1.6,count
387,8,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
388,9,0.109090909,Shrimp,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.8,count
389,10,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
390,11,NA,Shrimp,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
391,12,0.386363636,Shrimp,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,17,count
392,1,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
393,2,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
394,3,0.281818182,Shrimp,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,12.4,count
395,4,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
396,5,0.05,Shrimp,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,2.2,count
397,6,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
398,7,0.018181818,Shrimp,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,0.8,count
399,8,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
400,9,0.094886364,Shrimp,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,4.175,count
401,10,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
402,11,NA,Shrimp,BodegaHarbor_bed_GG,NA,NA,NA,NA,NA,NA,NA,NA
403,12,0.940909091,Shrimp,BodegaHarbor_bed_GG,Best and Stachowicz 2014,2009,2010,grazer,average of 5 samples,RB,41.4,count
404,1,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
405,2,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
406,3,0,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
407,4,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
408,5,0.785853114,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,4.108,g
409,6,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
410,7,0.541986135,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,2.8332,g
411,8,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
412,9,0.507016819,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,2.6504,g
413,10,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
414,11,NA,Ulva_biomass,BodegaHarbor_bed_GA,NA,NA,NA,NA,NA,NA,NA,NA
415,12,0.010406624,Ulva_biomass,BodegaHarbor_bed_GA,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0.0544,g
416,1,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
417,2,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
418,3,0,Ulva_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
419,4,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
420,5,0.165281668,Ulva_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0.864,g
421,6,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
422,7,0.155812405,Ulva_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0.8145,g
423,8,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
424,9,1,Ulva_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,5.22744,g
425,10,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
426,11,NA,Ulva_biomass,BodegaHarbor_bed_GB,NA,NA,NA,NA,NA,NA,NA,NA
427,12,0,Ulva_biomass,BodegaHarbor_bed_GB,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
428,1,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
429,2,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
430,3,0,Ulva_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
431,4,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
432,5,0,Ulva_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
433,6,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
434,7,0,Ulva_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
435,8,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
436,9,0,Ulva_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
437,10,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
438,11,NA,Ulva_biomass,BodegaHarbor_bed_GD,NA,NA,NA,NA,NA,NA,NA,NA
439,12,0,Ulva_biomass,BodegaHarbor_bed_GD,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
440,1,NA,Ulva_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
441,2,NA,Ulva_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
442,3,0.012625683,Ulva_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0.066,g
443,4,NA,Ulva_biomass,BodegaHarbor_bed_GF,NA,NA,NA,NA,NA,NA,NA,NA
444,5,0,Ulva_biomass,BodegaHarbor_bed_GF,Best and Stachowicz 2014,2009,2010,macroalgae,"dry weight, average of 5 samples",RB,0,g
