month,relative.value,variable,site,ref,year.start,year.end,trophic.grp,notes,data.entered.by
2,2,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
3,1.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
4,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
5,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
6,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
7,6,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
8,10,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
9,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
10,7,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
11,3.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
12,2,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,1 of 3 sites,EA
1,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
2,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
3,1.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
4,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
5,1.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
6,5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
7,6,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
8,10,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
9,5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
10,4,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
11,3,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
12,3.5,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,2 of 3 sites,EA
7,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,3 of 3 sites,EA
8,10,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,3 of 3 sites,EA
9,1,seagrass shoot biomass,"Cobscook Bay, Maine",Beal et al,1995,1996,seagrass,3 of 3 sites,EA
2,3,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA
4,8,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA
8,10,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA
11,1,seagrass shoot biomass,Adriatic Sea,Guidetti et al,1997,1997,seagrass,,EA
1,2,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
2,2,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
3,1.5,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
4,1,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
5,2,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
6,9,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
7,10,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
8,9.5,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
9,7,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
10,6,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
11,4,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
12,3.5,seagrass shoot biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,seagrass,,EA
1,,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
2,,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
3,,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
4,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
5,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
6,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
7,1,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
8,10,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
9,3,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
10,4,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
11,6,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
12,4,epiphyte biomass,"Akkeshi-ko Estuary, Japan",Hasegawa et al ,2002,2003,epiphytes,,EA
1,6,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
2,5,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
3,1,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
4,1,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
5,4,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
6,6,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
7,5,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
8,8.5,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
9,10,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
10,7,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
11,7,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
12,6,seagrass shoot biomass,"Roscoff, France",Jacobs,1976,1977,seagrass,,EA
